Biome,year,site,sample,C,N,P,dC13,dN15
CPC,2013,E1,CBOM,20.86,0.93,0.08,-29.87,1.52
CPC,2013,E1,CBOM,25.03,1.22,0.13,-29.43,1.89
CPC,2013,E1,CBOM,33.62,1.02,0.08,-28.74,1.99
CPC,2013,E1,CBOM,34.13,1.01,0.08,-28.8,-0.34
CPC,2013,E1,FBOM,2.45,0.41,0.04,-26.14,2.84
CPC,2013,E1,FBOM,2.54,0.4,0.03,-25.78,3.4
CPC,2013,E1,FBOM,3.25,0.44,0.02,-26.01,3.31
CPC,2013,E1,FBOM,4.38,0.51,0.04,-26.44,4.46
CPC,2013,S1,CBOM,19.36,0.86,0.08,-28.63,1.52
CPC,2013,S1,CBOM,33.57,1.05,0.07,-28.52,1.07
CPC,2013,S1,CBOM,43.79,0.96,0.05,-28.3,2.31
CPC,2013,S1,CBOM,44.75,1,0.04,-29.58,0.04
CPC,2013,S1,FBOM,2.97,0.43,0.04,-24.41,4.22
CPC,2013,S1,FBOM,4.1,0.48,0.03,-22.82,3.68
CPC,2013,S1,FBOM,5.08,0.56,0.05,-24.59,4.39
CPC,2013,S1,FBOM,5.69,0.57,0.04,-25.82,3.94
CPC,2013,S12,CBOM,32.55,1.28,0.09,-30.15,-0.78
CPC,2013,S12,CBOM,39.71,1.08,0.05,-29.36,-1.38
CPC,2013,S12,CBOM,43.52,1.21,0.05,-27.28,-0.48
CPC,2013,S12,CBOM,48.52,1.17,0.04,-29.38,-1.2
CPC,2013,S12,FBOM,4.1,0.52,0.04,-23.92,3.53
CPC,2013,S12,FBOM,4.96,0.54,0.04,-23.76,3.04
CPC,2013,S12,FBOM,5.29,0.61,0.04,-22.65,3.08
CPC,2013,S12,FBOM,9.13,0.75,0.02,-23.47,3.33
CPC,2013,S19,CBOM,12.76,0.74,0.08,-28.33,NA
CPC,2013,S19,CBOM,13.01,0.92,0.1,-29.52,NA
CPC,2013,S19,CBOM,22.32,0.84,0.05,-28.24,NA
CPC,2013,S19,CBOM,25.51,1.12,0.08,-28.66,NA
CPC,2013,S19,FBOM,3.04,0.41,0.03,-19.29,3.86
CPC,2013,S19,FBOM,3.24,0.41,0.03,-18.96,3.08
CPC,2013,S19,FBOM,6.23,0.48,0.03,-15.56,4.26
CPC,2013,S7,CBOM,41.87,1.34,0.09,-29.22,0.66
CPC,2013,S7,CBOM,43.34,1.1,0.06,-29.23,-0.44
CPC,2013,S7,CBOM,48.85,1.56,0.08,-31.58,-2.18
CPC,2013,S7,CBOM,49.42,1.07,0.03,-28.86,-1.49
CPC,2013,S7,FBOM,2.82,0.43,0.02,-26.18,3.06
CPC,2013,S7,FBOM,2.83,0.4,0.02,-26.45,3.39
CPC,2013,S7,FBOM,3.91,0.45,0.02,-26.01,2.17
CWT,2013,E1,CBOM,47.36,0.66,0.03,-27.95,-3.18
CWT,2013,E1,CBOM,47.45,0.85,0.04,-28.29,-3.3
CWT,2013,E1,CBOM,50.38,1.05,0.05,-28.72,-3.25
CWT,2013,E1,FBOM,6.08,0.33,0.02,-27.37,-0.83
CWT,2013,E1,FBOM,12.83,0.66,0.03,-27.8,-0.34
CWT,2013,E1,FBOM,13.5,0.64,0.04,-27.81,-0.31
CWT,2013,E2,CBOM,47.15,1.26,0.07,-28.43,-3.05
CWT,2013,E2,CBOM,47.48,0.83,0.05,-29.15,-3.5
CWT,2013,E2,CBOM,48.92,1.24,0.08,-30.54,-2.9
CWT,2013,E2,FBOM,4.2,0.25,0.03,-26.93,-0.81
CWT,2013,E2,FBOM,8.29,0.42,0.04,-27.49,-0.83
CWT,2013,E2,FBOM,9.07,0.45,0.04,-27.45,0.18
